name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,cluster
Trem das Onze                                                                                                                                                                    ,0.566,0.424,-9.784,0.0413,0.557,7.03e-06,0.144,0.679,91.649,169107,29
Chove Chuva                                                                                                                                                                      ,0.714,0.451,-8.52,0.0385,0.584,0.0,0.0881,0.514,134.969,185720,23
Menina Mulher Da Pele Preta                                                                                                                                                      ,0.591,0.557,-10.097,0.0584,0.648,0.0486,0.231,0.979,135.65,178107,9
Agua De Beber                                                                                                                                                                    ,0.645,0.357,-15.628,0.0356,0.426,0.0,0.0727,0.86,147.846,139253,9
Agua De Beber                                                                                                                                                                    ,0.66,0.759,-8.55,0.0437,0.243,0.00227,0.0756,0.7,94.477,235800,4
Lá Vem O Brasil Descendo A Ladeira                                                                                                                                               ,0.677,0.94,-6.606,0.0764,0.387,0.0,0.0846,0.824,166.501,176680,6
Amiga Da Minha Mulher                                                                                                                                                            ,0.788,0.916,-5.152,0.121,0.714,0.0,0.0867,0.829,104.015,248080,9
O Leãozinho                                                                                                                                                                      ,0.57,0.16,-17.201,0.0498,0.896,1.39e-05,0.158,0.56,126.564,186307,29
Já Sei Namorar - 2004 Digital Remaster                                                                                                                                           ,0.67,0.822,-6.687,0.057,0.67,0.00115,0.132,0.833,145.56,196987,9
Coração Vagabundo                                                                                                                                                                ,0.577,0.312,-13.453,0.0448,0.785,0.0976,0.138,0.372,80.698,143427,3
Fotografia                                                                                                                                                                       ,0.715,0.309,-12.395,0.0315,0.733,0.00455,0.172,0.563,98.071,146373,29
Fotografia                                                                                                                                                                       ,0.437,0.197,-17.95,0.0433,0.958,3.84e-05,0.172,0.542,133.717,142002,3
"Rosa, Menina Rosa                                                                                                                                                              ",0.584,0.641,-7.415,0.0886,0.376,0.0,0.118,0.732,96.264,135773,12
Fado Toninho                                                                                                                                                                     ,0.692,0.21,-9.525,0.0427,0.865,0.0,0.16,0.743,77.878,127400,29
Mal Por Mal                                                                                                                                                                      ,0.645,0.267,-10.552,0.0631,0.623,0.000725,0.11,0.389,146.339,171427,23
Violão Vadio                                                                                                                                                                     ,0.364,0.0884,-21.309,0.041,0.927,0.645,0.127,0.152,89.235,335993,0
Chorinho Pra Voce                                                                                                                                                                ,0.654,0.4,-13.302,0.0405,0.784,0.799,0.0997,0.85,106.451,455507,27
Chorando Baixinho                                                                                                                                                                ,0.492,0.102,-18.447,0.0613,0.916,0.0222,0.0914,0.573,205.863,290853,3
Samba da Bênção                                                                                                                                                                  ,0.597,0.549,-11.817,0.0543,0.372,0.000923,0.0992,0.866,159.381,182160,6
Acabou Chorare                                                                                                                                                                   ,0.59,0.148,-13.962,0.0543,0.974,0.0134,0.109,0.292,100.663,210453,3
Ui! (Voce Inventa)                                                                                                                                                               ,0.747,0.15,-17.645,0.112,0.588,6.19e-05,0.12,0.817,84.132,181707,29
"Augusta, Angélica e Consolação                                                                                                                                                 ",0.656,0.375,-10.531,0.0631,0.699,3.62e-06,0.155,0.83,137.981,224867,9
Todos os olhos                                                                                                                                                                   ,0.816,0.416,-8.26,0.0572,0.663,7.07e-05,0.0954,0.933,124.823,210573,9
Vai (Menina amanhã de manhã)                                                                                                                                                     ,0.671,0.63,-10.367,0.237,0.885,0.0,0.132,0.794,127.645,175133,9
Desde Que o Samba é Samba                                                                                                                                                        ,0.789,0.268,-15.776,0.048,0.822,0.177,0.111,0.683,125.185,256747,29
Insensatez: A Mulher Que Fez                                                                                                                                                     ,0.789,0.486,-11.171,0.0538,0.32,0.0,0.108,0.947,92.579,143387,19
Ponto De Marinheiro / Marinheiro Só                                                                                                                                              ,0.775,0.509,-11.966,0.125,0.559,0.0,0.332,0.831,97.05,169080,9
Tanto Mar                                                                                                                                                                        ,0.427,0.504,-8.1,0.0603,0.645,2.68e-05,0.178,0.885,180.328,114907,9
Diz Que Eu Fui Por Aí                                                                                                                                                            ,0.689,0.448,-9.83,0.0722,0.866,0.0033,0.0963,0.498,89.225,231802,29
Argumento                                                                                                                                                                        ,0.731,0.762,-6.768,0.0549,0.807,0.0,0.127,0.926,113.939,192893,9
Chuck Berry Fields Forever                                                                                                                                                       ,0.584,0.682,-10.141,0.13,0.366,0.000269,0.794,0.716,153.42,280293,14
Brasil Pandeiro                                                                                                                                                                  ,0.549,0.555,-7.144,0.0344,0.791,0.000311,0.117,0.876,97.724,235107,9
Preta Pretinha                                                                                                                                                                   ,0.704,0.561,-7.177,0.033,0.845,7.65e-06,0.108,0.773,124.861,397493,9
